trial_id,epoch,train_loss,val_loss,train_mae,val_mae,learning_rate,elapsed_sec,lstm1_units,lstm2_units,dropout,batch_size,width_floor_pts,width_floor_weight,width_norm,width_floor_pct,mae_pts_GE1,mae_pts_GE2,mae_pts_VP,mae_pts_VA,mae_pts_CG,mae_pts_MB,mae_pts_MA,mae_pts_MP,cov_10_90_GE1,cov_10_90_GE2,cov_10_90_VP,cov_10_90_VA,cov_10_90_CG,cov_10_90_MB,cov_10_90_MA,cov_10_90_MP,width_10_90_GE1,width_10_90_GE2,width_10_90_VP,width_10_90_VA,width_10_90_CG,width_10_90_MB,width_10_90_MA,width_10_90_MP
v6-fb-final-v2,23,1.082297,1.084538,0.304500,0.261238,0.000798,2936.20,64,32,0.2,32,0.5,0.05,0.653,0.117,1.3189,0.6031,1.3240,0.0468,0.6421,1.3263,0.5859,0.6243,0.831,0.695,0.692,0.799,0.743,0.680,0.734,0.864,3.945,1.148,3.150,0.202,1.293,3.651,1.100,1.728
default,37,0.908738,1.030814,0.274522,0.279831,0.000792,4482.34,64,32,0.3,32,0.5,0.05,0.632,0.120,1.4037,0.5908,1.3832,0.0579,0.5605,1.3818,0.8775,0.6428,0.692,0.753,0.651,0.586,0.785,0.712,0.421,0.818,3.391,1.150,3.158,0.188,1.221,3.249,1.659,1.523
v6-fb-final-v2,24,1.066562,1.159508,0.295152,0.308758,0.000797,3070.50,64,32,0.2,32,0.5,0.05,0.701,0.109,1.5143,0.5831,2.0050,0.0407,0.6004,1.4156,0.6712,0.8939,0.731,0.772,0.460,0.927,0.823,0.736,0.712,0.671,3.702,1.238,3.231,0.316,1.471,3.845,1.371,1.766
default,38,0.881289,0.987516,0.270644,0.255032,0.000792,4610.40,64,32,0.3,32,0.5,0.05,0.620,0.123,1.3882,0.6404,1.1882,0.0344,0.5919,1.2226,0.6269,0.6537,0.775,0.724,0.726,0.898,0.736,0.726,0.649,0.823,4.143,1.195,3.086,0.144,1.192,3.102,1.161,1.576
v6-fb-final-v2,25,1.078224,1.096544,0.300502,0.317801,0.000797,3198.61,64,32,0.2,32,0.5,0.05,0.859,0.113,1.6024,0.7787,1.4444,0.0417,0.9251,1.1746,0.7432,1.0735,0.806,0.838,0.705,0.847,0.685,0.835,0.814,0.695,4.370,2.238,3.746,0.249,1.909,4.394,1.884,2.150
default,39,0.899251,0.979721,0.270153,0.245920,0.000791,4745.94,64,32,0.3,32,0.5,0.05,0.661,0.120,1.3260,0.5845,1.1720,0.0313,0.5717,1.1971,0.6142,0.6314,0.826,0.765,0.799,0.908,0.792,0.799,0.799,0.816,4.110,1.120,3.539,0.179,1.320,3.376,1.435,1.452
v6-fb-final-v2,26,1.041530,1.120470,0.293082,0.281967,0.000797,3333.54,64,32,0.2,32,0.5,0.05,0.640,0.113,1.5292,0.7431,1.3213,0.1093,0.5992,1.2895,0.6103,0.6259,0.717,0.598,0.690,0.341,0.772,0.714,0.651,0.809,3.995,1.222,3.064,0.277,1.327,3.212,1.130,1.433
default,40,0.847152,1.276808,0.268788,0.265056,0.000791,4881.07,64,32,0.3,32,0.5,0.05,0.805,0.102,1.4475,0.5850,1.2678,0.0358,0.5344,1.4748,0.5695,0.7302,0.777,0.804,0.843,0.920,0.850,0.823,0.801,0.751,4.192,1.365,4.396,0.445,1.533,4.188,1.401,1.802
v6-fb-final-v2,27,1.045354,1.037947,0.290402,0.274868,0.000796,3468.93,64,32,0.2,32,0.5,0.05,0.651,0.115,1.4515,0.6543,1.5887,0.0545,0.5895,1.2479,0.6090,0.6319,0.688,0.530,0.535,0.753,0.850,0.743,0.646,0.763,4.400,0.986,3.176,0.225,1.485,3.620,1.089,1.290
default,41,0.879236,1.113520,0.266908,0.266212,0.000790,4996.24,64,32,0.3,32,0.5,0.05,0.632,0.114,1.2886,0.7646,1.2801,0.0347,0.5720,1.3401,0.6710,0.6449,0.785,0.775,0.678,0.843,0.799,0.692,0.550,0.785,3.529,1.540,3.239,0.192,1.250,3.217,1.115,1.501
v6-fb-final-v2,28,0.997983,1.029741,0.286148,0.257203,0.000796,3583.81,64,32,0.2,32,0.5,0.05,0.661,0.120,1.4328,0.5792,1.2632,0.0629,0.5888,1.1497,0.6177,0.6417,0.806,0.801,0.695,0.446,0.794,0.811,0.717,0.840,4.093,1.248,3.209,0.167,1.330,3.685,1.245,1.562
default,42,0.832313,1.024787,0.265035,0.260014,0.000790,5132.68,64,32,0.3,32,0.5,0.05,0.645,0.116,1.3934,0.6174,1.2748,0.0376,0.5822,1.3313,0.6252,0.6241,0.722,0.644,0.700,0.782,0.758,0.726,0.700,0.826,3.577,1.052,3.626,0.212,1.220,3.472,1.212,1.584
v6-fb-final-v2,29,0.979869,1.055485,0.283698,0.250433,0.000796,3719.53,64,32,0.2,32,0.5,0.05,0.648,0.114,1.3510,0.5699,1.3463,0.0382,0.6147,1.1394,0.5660,0.6120,0.748,0.722,0.702,0.910,0.775,0.777,0.734,0.833,3.466,1.067,3.493,0.265,1.517,3.435,1.099,1.473
default,43,0.806283,1.059876,0.263360,0.281358,0.000789,5268.25,64,32,0.3,32,0.5,0.05,0.638,0.118,1.5767,0.6621,1.3403,0.0849,0.5769,1.4117,0.6231,0.6438,0.697,0.608,0.632,0.308,0.801,0.656,0.692,0.765,3.944,1.095,3.100,0.174,1.418,3.560,1.215,1.436
