trial_id,epoch,train_loss,val_loss,learning_rate,elapsed_sec,lstm1_units,lstm2_units,dropout,batch_size
default,99,0.618928,0.437423,0.0005,8180.86,64,32,0.3,32
default,50,0.695611,0.435945,0.0005,5395.80,64,32,0.3,32
default,49,0.709707,0.442449,0.0005,5281.23,64,32,0.3,32
default,51,0.700940,0.437023,0.0005,5479.09,64,32,0.3,32
default,50,0.715016,0.455734,0.0005,5364.02,64,32,0.3,32
default,52,0.696733,0.453940,0.0005,5563.02,64,32,0.3,32
default,51,0.708738,0.448584,0.0005,5446.43,64,32,0.3,32
default,53,0.700891,0.444037,0.0005,5645.91,64,32,0.3,32
default,52,0.698841,0.453582,0.0005,5529.27,64,32,0.3,32
default,54,0.684902,0.458415,0.0005,5729.01,64,32,0.3,32
default,53,0.710104,0.450091,0.0005,5612.63,64,32,0.3,32
default,55,0.689698,0.431434,0.0005,5811.34,64,32,0.3,32
default,54,0.704674,0.455465,0.0005,5694.36,64,32,0.3,32
default,56,0.694768,0.434901,0.0005,5894.18,64,32,0.3,32
default,55,0.703804,0.465821,0.0005,5777.93,64,32,0.3,32
default,57,0.681918,0.439870,0.0005,5977.02,64,32,0.3,32
default,56,0.704142,0.446458,0.0005,5861.28,64,32,0.3,32
default,58,0.697715,0.440929,0.0005,6061.22,64,32,0.3,32
default,57,0.698357,0.447326,0.0005,5944.17,64,32,0.3,32
default,59,0.686255,0.444761,0.0005,6143.23,64,32,0.3,32
default,58,0.703206,0.446330,0.0005,6028.09,64,32,0.3,32
default,60,0.680408,0.450494,0.0005,6226.90,64,32,0.3,32
default,59,0.697369,0.459416,0.0005,6111.30,64,32,0.3,32
default,61,0.684301,0.434011,0.0005,6309.67,64,32,0.3,32
default,60,0.695420,0.439636,0.0005,6194.25,64,32,0.3,32
default,62,0.681044,0.442757,0.0005,6393.12,64,32,0.3,32
default,61,0.700267,0.456244,0.0005,6276.25,64,32,0.3,32
default,63,0.690184,0.442832,0.0005,6476.45,64,32,0.3,32
default,62,0.700526,0.445625,0.0005,6358.59,64,32,0.3,32
default,64,0.673748,0.440345,0.0005,6558.99,64,32,0.3,32
default,63,0.706137,0.462623,0.0005,6440.56,64,32,0.3,32
default,65,0.688892,0.438242,0.0005,6642.08,64,32,0.3,32
default,64,0.694837,0.447372,0.0005,6523.14,64,32,0.3,32
default,66,0.688503,0.444033,0.0005,6725.19,64,32,0.3,32
default,65,0.680325,0.440935,0.0005,6605.38,64,32,0.3,32
default,67,0.675674,0.447598,0.0005,6807.91,64,32,0.3,32
default,66,0.694744,0.447807,0.0005,6688.40,64,32,0.3,32
default,68,0.677548,0.443173,0.0005,6891.08,64,32,0.3,32
default,67,0.686897,0.453456,0.0005,6770.95,64,32,0.3,32
default,69,0.674958,0.433581,0.0005,6975.50,64,32,0.3,32
default,68,0.684272,0.438658,0.0005,6855.04,64,32,0.3,32
default,70,0.677978,0.436386,0.0005,7058.86,64,32,0.3,32
default,69,0.690625,0.454617,0.0005,6937.84,64,32,0.3,32
