trial_id,epoch,train_loss,val_loss,train_mae,val_mae,learning_rate,elapsed_sec,lstm1_units,lstm2_units,dropout,batch_size
default,19,0.948754,0.394698,0.234386,0.150612,0.000484,1715.99,64,32,0.3,32,1.5415,0.0427,1.3255,0.0340,0.0408,1.3434,0.0732,0.0853,0.842,0.892,0.908,0.903,0.819,0.887,0.684,0.926,5.907,0.318,5.858,0.479,0.529,5.375,0.167,0.499
default,35,0.689777,0.408704,0.206469,0.169765,0.000429,3401.07,64,32,0.3,32
default,20,0.853368,0.633854,0.245682,0.161408,0.000481,1830.89,64,32,0.3,32,1.5115,0.0697,1.3294,0.0556,0.1060,1.3587,0.0753,0.0568,0.774,0.909,0.870,0.961,0.981,0.808,0.966,0.868,4.993,0.394,5.187,0.442,0.560,4.096,0.620,0.334
default,36,0.689552,0.300959,0.208705,0.137823,0.000424,3522.69,64,32,0.3,32
default,21,0.946870,0.453046,0.229883,0.185931,0.000479,1933.97,64,32,0.3,32,1.8223,0.0423,1.2950,0.1492,0.0473,1.3152,0.1889,0.0924,0.614,0.978,0.829,0.909,0.370,0.814,0.868,0.901,3.882,0.471,4.749,0.670,0.535,4.101,0.240,0.202
default,37,0.881299,0.305713,0.217960,0.160096,0.000419,3625.24,64,32,0.3,32
default,22,1.738011,0.365491,0.227153,0.156263,0.000476,2059.27,64,32,0.3,32,1.5968,0.0570,1.3333,0.0542,0.0455,1.2599,0.0753,0.0968,0.881,0.503,0.846,0.965,0.863,0.961,0.834,0.991,6.162,0.122,4.967,0.427,0.621,6.762,0.213,0.616
default,38,0.690307,0.436842,0.205551,0.152927,0.000415,3744.51,64,32,0.3,32
default,23,0.842515,0.338936,0.230205,0.151847,0.000473,2153.02,64,32,0.3,32,1.5299,0.0406,1.3494,0.0323,0.0401,1.4680,0.0867,0.0529,0.870,0.954,0.919,0.571,0.792,0.933,0.916,0.821,5.991,0.498,5.820,0.147,0.827,5.718,0.497,0.246
default,39,0.723649,0.329366,0.200910,0.170238,0.000410,3838.05,64,32,0.3,32
default,24,1.000914,0.384041,0.223133,0.159138,0.000470,2270.66,64,32,0.3,32,1.5156,0.0394,1.2688,0.0314,0.0350,1.9968,0.0480,0.0534,0.598,0.947,0.843,0.814,0.764,0.842,0.760,0.830,3.578,0.349,5.074,0.317,0.291,4.617,0.423,0.352
default,40,0.808194,0.346383,0.195930,0.140782,0.000405,3949.34,64,32,0.3,32
default,25,0.848004,0.450305,0.217617,0.177447,0.000467,2371.78,64,32,0.3,32,1.4946,0.1020,1.2564,0.0282,0.0361,1.5513,0.0931,0.2073,0.727,0.840,0.837,0.547,0.417,0.834,0.555,0.715,4.398,0.302,5.361,0.121,0.235,4.365,0.112,0.101
default,41,0.734931,0.290365,0.199079,0.147749,0.000400,4049.84,64,32,0.3,32
default,26,0.813024,0.350865,0.221367,0.154803,0.000464,2478.38,64,32,0.3,32,1.4943,0.0521,1.3504,0.0475,0.0390,1.3770,0.0464,0.1193,0.889,0.850,0.865,0.986,0.544,0.949,0.938,0.668,6.596,0.487,5.072,0.481,0.111,6.463,0.412,0.107
default,42,0.629831,0.300477,0.202978,0.161386,0.000395,4155.24,64,32,0.3,32
default,27,1.363765,0.376851,0.228896,0.203598,0.000461,2590.95,64,32,0.3,32,1.5923,0.2002,1.3567,0.1960,0.0401,1.2138,0.2056,0.0717,0.756,0.948,0.934,0.978,0.861,0.849,0.994,0.991,4.691,0.804,6.279,0.475,0.523,4.566,1.030,0.550
default,43,0.626920,0.264561,0.194232,0.133755,0.000389,4269.09,64,32,0.3,32
default,28,0.867720,0.408111,0.233484,0.204967,0.000457,2683.60,64,32,0.3,32,2.4972,0.0670,1.2712,0.0770,0.1471,1.3360,0.1504,0.1054,0.827,0.978,0.980,0.984,0.722,0.878,0.996,0.995,9.990,0.854,8.292,0.604,0.335,4.735,0.730,0.465
