severity,type,description,competition_slug,season,event_name,caption_name,score,count
warning,all_age_class,"All-Age Class scores found (should exclude from World/Open Class ML training)",,2018,"Tour of Champions – Chester",8 Percussion,,12
warning,all_age_class,"All-Age Class scores found (should exclude from World/Open Class ML training)",,2018,"Tour of Champions – Chester",Music Comm,,12
warning,all_age_class,"All-Age Class scores found (should exclude from World/Open Class ML training)",,2018,"Tour of Champions – Chester",Penalties,,12
warning,all_age_class,"All-Age Class scores found (should exclude from World/Open Class ML training)",,2018,"Tour of Champions – Chester",Visual Comm,,12
warning,all_age_class,"All-Age Class scores found (should exclude from World/Open Class ML training)",,2017,"Emerald City Music Games",1 Visual Effect,,9
warning,all_age_class,"All-Age Class scores found (should exclude from World/Open Class ML training)",,2017,"Emerald City Music Games",2 Music Effect,,9
warning,all_age_class,"All-Age Class scores found (should exclude from World/Open Class ML training)",,2017,"Emerald City Music Games",4 Visual Ensemble,,9
warning,all_age_class,"All-Age Class scores found (should exclude from World/Open Class ML training)",,2017,"Emerald City Music Games",5 Color Guard,,6
warning,all_age_class,"All-Age Class scores found (should exclude from World/Open Class ML training)",,2017,"Emerald City Music Games",6 Brass,,6
warning,all_age_class,"All-Age Class scores found (should exclude from World/Open Class ML training)",,2017,"Emerald City Music Games",7 Music Ensemble,,9
warning,all_age_class,"All-Age Class scores found (should exclude from World/Open Class ML training)",,2017,"Emerald City Music Games",8 Percussion,,5
warning,all_age_class,"All-Age Class scores found (should exclude from World/Open Class ML training)",,2017,"Emerald City Music Games",Music Comm,,6
warning,all_age_class,"All-Age Class scores found (should exclude from World/Open Class ML training)",,2017,"Emerald City Music Games",Penalties,,8
warning,all_age_class,"All-Age Class scores found (should exclude from World/Open Class ML training)",,2017,"Emerald City Music Games",Visual Comm,,6
warning,all_age_class,"All-Age Class scores found (should exclude from World/Open Class ML training)",,2016,"Soaring Sounds 37",1 Visual Effect,,20
warning,all_age_class,"All-Age Class scores found (should exclude from World/Open Class ML training)",,2016,"Soaring Sounds 37",2 Music Effect,,20
warning,all_age_class,"All-Age Class scores found (should exclude from World/Open Class ML training)",,2016,"Soaring Sounds 37",4 Visual Ensemble,,20
warning,all_age_class,"All-Age Class scores found (should exclude from World/Open Class ML training)",,2016,"Soaring Sounds 37",5 Color Guard,,12
warning,all_age_class,"All-Age Class scores found (should exclude from World/Open Class ML training)",,2016,"Soaring Sounds 37",6 Brass,,12
warning,all_age_class,"All-Age Class scores found (should exclude from World/Open Class ML training)",,2016,"Soaring Sounds 37",7 Music Ensemble,,20
warning,all_age_class,"All-Age Class scores found (should exclude from World/Open Class ML training)",,2016,"Soaring Sounds 37",8 Percussion,,12
warning,all_age_class,"All-Age Class scores found (should exclude from World/Open Class ML training)",,2016,"Soaring Sounds 37",Music Comm,,12
warning,all_age_class,"All-Age Class scores found (should exclude from World/Open Class ML training)",,2016,"Soaring Sounds 37",Penalties,,20
warning,all_age_class,"All-Age Class scores found (should exclude from World/Open Class ML training)",,2016,"Soaring Sounds 37",Visual Comm,,12
warning,all_age_class,"All-Age Class scores found (should exclude from World/Open Class ML training)",,2015,"Soaring Sounds 36",1 Visual Effect,,19
warning,all_age_class,"All-Age Class scores found (should exclude from World/Open Class ML training)",,2015,"Soaring Sounds 36",2 Music Effect,,19
warning,all_age_class,"All-Age Class scores found (should exclude from World/Open Class ML training)",,2015,"Soaring Sounds 36",4 Visual Ensemble,,19
warning,all_age_class,"All-Age Class scores found (should exclude from World/Open Class ML training)",,2015,"Soaring Sounds 36",5 Color Guard,,14
warning,all_age_class,"All-Age Class scores found (should exclude from World/Open Class ML training)",,2015,"Soaring Sounds 36",6 Brass,,14
warning,all_age_class,"All-Age Class scores found (should exclude from World/Open Class ML training)",,2015,"Soaring Sounds 36",7 Music Ensemble,,19
warning,all_age_class,"All-Age Class scores found (should exclude from World/Open Class ML training)",,2015,"Soaring Sounds 36",8 Percussion,,14
warning,all_age_class,"All-Age Class scores found (should exclude from World/Open Class ML training)",,2015,"Soaring Sounds 36",Music Comm,,14
warning,all_age_class,"All-Age Class scores found (should exclude from World/Open Class ML training)",,2015,"Soaring Sounds 36",Penalties,,16
warning,all_age_class,"All-Age Class scores found (should exclude from World/Open Class ML training)",,2015,"Soaring Sounds 36",Visual Comm,,14
